"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:18:21,FALSE,NA,"1599000077208809472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","priapunyasalira",343,TRUE,FALSE,NA,NA
"RT @asal_sukses: Njir prediksi nya tepat

#Gempa 
#garut https://t.co/p9xrB0eznr",FALSE,0,NA,2022-12-03 11:18:18,FALSE,NA,"1599000066651717633",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KittyEiChannn",71,TRUE,FALSE,NA,NA
"Semoga semuanya dalam lindungan Allah SWT amiennnnn 🤲 #garut",FALSE,0,NA,2022-12-03 11:17:58,FALSE,NA,"1598999982967001088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","gr0pies",0,FALSE,FALSE,NA,NA
"RT @asal_sukses: Njir prediksi nya tepat

#Gempa 
#garut https://t.co/p9xrB0eznr",FALSE,0,NA,2022-12-03 11:17:49,FALSE,NA,"1598999944853352448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CrumpJr92",71,TRUE,FALSE,NA,NA
"RT @asal_sukses: Njir prediksi nya tepat

#Gempa 
#garut https://t.co/p9xrB0eznr",FALSE,0,NA,2022-12-03 11:17:48,FALSE,NA,"1598999941023559682",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mudinnriberry",71,TRUE,FALSE,NA,NA
"RT @tribunkaltim: WILAYAH YANG MERASAKAN GEMPA MAGNITUDO 6.4 DI GARUT JAWA BARAT HARI INI, BEBERAPA ALAMI KERUSAKAN

#TribunKaltim #GempaGa…",FALSE,0,NA,2022-12-03 11:17:48,FALSE,NA,"1598999940512256001",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ErsaTriWahyuni",1,TRUE,FALSE,NA,NA
"RT @infogarut: #Garut diguncang gempa magnitudo 6,4, terasa hingga Bandung https://t.co/umNW5Sgtw1",FALSE,0,NA,2022-12-03 11:17:37,FALSE,NA,"1598999896467845120",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","denyracun",5,TRUE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:17:27,FALSE,NA,"1598999853455249408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sulis_hartini",343,TRUE,FALSE,NA,NA
"Telah terjadi gempa 6,4 SR berpusat di Garut, Jawa Barat sekitar pukul 16.49 WIB. Gempa tidak berpotensi menyebabka… https://t.co/Z0vUpEsSHX",FALSE,0,NA,2022-12-03 11:17:17,TRUE,NA,"1598999810887290881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","validnewsid",0,FALSE,FALSE,NA,NA
"Gempa Garut kerasa sampai ke Bandung, Jawa Barat. BMKG memastikan gempa Garut itu tak berpotensi tsunami, tapi BPBD… https://t.co/KO3Wkz0z7e",FALSE,1,NA,2022-12-03 11:17:11,TRUE,NA,"1598999787126550528",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TribunLombokcom",0,FALSE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:17:08,FALSE,NA,"1598999774031933443",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ihsnseptian",343,TRUE,FALSE,NA,NA
"Gempa Susulan di Garut Berekuatan Magnitudo 2,9 https://t.co/v3iEjKWiWY #Garut #gempa #GempaSusulan",FALSE,0,NA,2022-12-03 11:16:17,FALSE,NA,"1598999558461083648",NA,"<a href=""http://fajar.co.id/"" rel=""nofollow"">FAJAR.CO.ID</a>","fajaronline",0,FALSE,FALSE,NA,NA
"WILAYAH YANG MERASAKAN GEMPA MAGNITUDO 6.4 DI GARUT JAWA BARAT HARI INI, BEBERAPA ALAMI KERUSAKAN

#TribunKaltim… https://t.co/JgFH7ncwMX",FALSE,0,NA,2022-12-03 11:16:13,TRUE,NA,"1598999541088649218",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","tribunkaltim",1,FALSE,FALSE,NA,NA
"RT @ariemustari25: Gempa Bumi Garut terasa kencng di daerah Purwadadi-Ciamis
#garut 
#ciamis
#cianjur https://t.co/L2unrqoir0",FALSE,0,NA,2022-12-03 11:16:11,FALSE,NA,"1598999533404364800",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rifanisaaa",343,TRUE,FALSE,NA,NA
"RT @DeliaRezki: Jokowi ingin buat negara lain bergantung kepada Indonesia 

#Gempa #garut #gempagarut #cianjur #infojabar #jokowi https://t…",FALSE,0,NA,2022-12-03 11:16:05,FALSE,NA,"1598999509698498561",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","karebread",1,TRUE,FALSE,NA,NA
"RT @infomitigasi: Seismogram Wanagama #Yogyakarta mengalami overscale ketika gempa skala M6 terjadi di #Garut Sore ini 03-Desember-2022 htt…",FALSE,0,NA,2022-12-03 11:15:45,FALSE,NA,"1598999424759664641",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SarGlagahwil5",14,TRUE,FALSE,NA,NA
"Barakallah syekh jaber mudah2an lewat piala Dunia Qatar 2022 dunia tercerahkan dgn ahlak islam yg benar… https://t.co/lpAbHFpBF1",FALSE,0,NA,2022-12-03 11:15:42,TRUE,NA,"1598999412885553155",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Ahmad484044331",0,FALSE,FALSE,NA,NA
